scalar,RGB_r,RGB_g,RGB_b
0.0273704789834,0.364181979662,0.332195027113,0.798572158322
0.0283479960899,0.365233108767,0.333932220629,0.800016264684
0.0293255131965,0.366284382544,0.335668256397,0.801456181963
0.030303030303,0.367335805197,0.337403132204,0.802891896029
0.0312805474096,0.368387380895,0.339136845613,0.804323392795
0.0322580645161,0.369439113767,0.340869393976,0.805750658221
0.0332355816227,0.370491007901,0.342600774435,0.807173678313
0.0342130987292,0.37154306735,0.344330983929,0.808592439125
0.0351906158358,0.372595296126,0.346060019195,0.810006926756
0.0361681329423,0.373647698201,0.347787876779,0.811417127355
0.0371456500489,0.374700277507,0.349514553035,0.812823027113
0.0381231671554,0.375753037939,0.351240044132,0.814224612274
0.039100684262,0.37680598335,0.352964346058,0.815621869125
0.0400782013685,0.377859117552,0.354687454626,0.817014784001
0.0410557184751,0.37891244432,0.356409365475,0.818403343287
0.0420332355816,0.379965967384,0.358130074075,0.819787533413
0.0430107526882,0.381019690439,0.359849575732,0.821167340858
0.0439882697947,0.382073617133,0.361567865592,0.822542752148
0.0449657869013,0.383127751078,0.363284938643,0.823913753858
0.0459433040078,0.384182095843,0.36500078972,0.825280332612
0.0469208211144,0.385236654954,0.366715413507,0.826642475079
0.0478983382209,0.386291431899,0.368428804543,0.82800016798
0.0488758553275,0.387346430121,0.370140957223,0.829353398083
0.049853372434,0.388401653022,0.371851865803,0.830702152203
0.0508308895406,0.389457103963,0.3735615244,0.832046417207
0.0518084066471,0.390512786262,0.375269926999,0.833386180009
0.0527859237537,0.391568703194,0.376977067455,0.834721427571
0.0537634408602,0.392624857993,0.378682939495,0.836052146907
0.0547409579668,0.393681253848,0.380387536719,0.837378325078
0.0557184750733,0.394737893907,0.382090852606,0.838699949195
0.0566959921799,0.395794781274,0.383792880519,0.840017006418
0.0576735092864,0.396851919009,0.385493613698,0.841329483957
0.058651026393,0.39790931013,0.387193045275,0.842637369072
0.0596285434995,0.39896695761,0.388891168266,0.843940649073
0.0606060606061,0.400024864379,0.39058797558,0.845239311318
0.0615835777126,0.401083033323,0.39228346002,0.846533343218
0.0625610948192,0.402141467284,0.393977614281,0.847822732232
0.0635386119257,0.403200169058,0.395670430961,0.84910746587
0.0645161290323,0.404259141398,0.397361902553,0.850387531691
0.0654936461388,0.405318387012,0.399052021457,0.851662917308
0.0664711632454,0.406377908564,0.400740779975,0.852933610382
0.0674486803519,0.407437708672,0.402428170315,0.854199598623
0.0684261974585,0.408497789908,0.404114184595,0.855460869797
0.069403714565,0.409558154801,0.405798814842,0.856717411715
0.0703812316716,0.410618805832,0.407482052998,0.857969212244
0.0713587487781,0.411679745439,0.409163890918,0.859216259299
0.0723362658847,0.412740976012,0.410844320372,0.860458540849
0.0733137829912,0.413802499895,0.41252333305,0.861696044911
0.0742913000978,0.414864319388,0.414200920561,0.862928759555
0.0752688172043,0.415926436743,0.415877074436,0.864156672905
0.0762463343109,0.416988854166,0.417551786129,0.865379773132
0.0772238514174,0.418051573817,0.419225047019,0.866598048463
0.0782013685239,0.419114597808,0.420896848411,0.867811487175
0.0791788856305,0.420177928206,0.42256718154,0.869020077597
0.080156402737,0.421241567029,0.424236037568,0.870223808111
0.0811339198436,0.422305516249,0.425903407591,0.871422667149
0.0821114369501,0.423369777791,0.427569282635,0.872616643199
0.0830889540567,0.424434353531,0.429233653663,0.873805724798
0.0840664711632,0.4254992453,0.430896511571,0.874989900537
0.0850439882698,0.42656445488,0.432557847194,0.87616915906
0.0860215053763,0.427629984004,0.434217651303,0.877343489063
0.0869990224829,0.428695834358,0.435875914612,0.878512879294
0.0879765395894,0.429762007581,0.437532627773,0.879677318557
0.088954056696,0.430828505262,0.439187781382,0.880836795706
0.0899315738025,0.431895328943,0.440841365978,0.881991299648
0.0909090909091,0.432962480118,0.442493372044,0.883140819347
0.0918866080156,0.434029960229,0.44414379001,0.884285343815
0.0928641251222,0.435097770674,0.445792610254,0.885424862121
0.0938416422287,0.436165912798,0.4474398231,0.886559363388
0.0948191593353,0.437234387901,0.449085418822,0.887688836789
0.0957966764418,0.43830319723,0.450729387647,0.888813271554
0.0967741935484,0.439372341987,0.452371719752,0.889932656966
0.0977517106549,0.44044182332,0.454012405264,0.891046982361
0.0987292277615,0.441511642332,0.455651434269,0.892156237129
0.099706744868,0.442581800073,0.457288796804,0.893260410716
0.100684261975,0.443652297547,0.458924482863,0.89435949262
0.101661779081,0.444723135705,0.460558482397,0.895453472394
0.102639296188,0.445794315449,0.462190785314,0.896542339645
0.103616813294,0.446865837633,0.463821381482,0.897626084036
0.104594330401,0.447937703058,0.465450260728,0.898704695282
0.105571847507,0.449009912478,0.467077412838,0.899778163154
0.106549364614,0.450082466595,0.468702827563,0.900846477479
0.10752688172,0.451155366061,0.470326494613,0.901909628136
0.108504398827,0.452228611478,0.471948403664,0.90296760506
0.109481915934,0.453302203396,0.473568544353,0.904020398243
0.11045943304,0.454376142317,0.475186906284,0.905067997728
0.111436950147,0.455450428691,0.476803479026,0.906110393617
0.112414467253,0.456525062918,0.478418252116,0.907147576065
0.11339198436,0.457600045345,0.480031215057,0.908179535283
0.114369501466,0.458675376272,0.481642357319,0.909206261537
0.115347018573,0.459751055944,0.483251668344,0.910227745149
0.116324535679,0.460827084558,0.484859137541,0.911243976496
0.117302052786,0.461903462259,0.486464754289,0.91225494601
0.118279569892,0.462980189141,0.488068507941,0.913260644181
0.119257086999,0.464057265247,0.48967038782,0.914261061553
0.120234604106,0.465134690567,0.491270383221,0.915256188725
0.121212121212,0.466212465042,0.492868483413,0.916246016353
0.122189638319,0.467290588561,0.494464677639,0.917230535151
0.123167155425,0.468369060961,0.496058955116,0.918209735886
0.124144672532,0.469447882028,0.497651305037,0.919183609381
0.125122189638,0.470527051497,0.49924171657,0.920152146519
0.126099706745,0.471606569051,0.500830178859,0.921115338235
0.127077223851,0.47268643432,0.502416681027,0.922073175522
0.128054740958,0.473766646885,0.504001212174,0.923025649431
0.129032258065,0.474847206273,0.505583761378,0.923972751068
0.130009775171,0.475928111961,0.507164317694,0.924914471595
0.130987292278,0.477009363373,0.508742870161,0.925850802232
0.131964809384,0.478090959882,0.510319407794,0.926781734255
0.132942326491,0.479172900809,0.511893919591,0.927707258997
0.133919843597,0.480255185423,0.51346639453,0.928627367848
0.134897360704,0.481337812942,0.515036821571,0.929542052254
